Station Name,Time Period,Avg Daily Entries,Month
Greenbelt,PM Peak (3pm-7pm),0.8K,June
Glenmont,PM Peak (3pm-7pm),0.5K,June
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.1K,June
Gallery Place,PM Peak (3pm-7pm),12.1K,June
Friendship Heights,PM Peak (3pm-7pm),2.5K,June
Franconia-Springfield,PM Peak (3pm-7pm),0.8K,June
Fort Totten,PM Peak (3pm-7pm),1.5K,June
Forest Glen,PM Peak (3pm-7pm),0.2K,June
Foggy Bottom-GWU,PM Peak (3pm-7pm),8.8K,June
Federal Triangle,PM Peak (3pm-7pm),5.2K,June
Federal Center SW,PM Peak (3pm-7pm),3.5K,June
Farragut West,PM Peak (3pm-7pm),11.3K,June
Farragut North,PM Peak (3pm-7pm),16.4K,June
Eisenhower Ave,PM Peak (3pm-7pm),0.4K,June
Eastern Market,PM Peak (3pm-7pm),1.7K,June
East Falls Church,PM Peak (3pm-7pm),0.5K,June
Dupont Circle,PM Peak (3pm-7pm),7.8K,June
Dunn Loring,PM Peak (3pm-7pm),0.6K,June
Downtown Largo,PM Peak (3pm-7pm),0.1K,June
Deanwood,PM Peak (3pm-7pm),0.1K,June
Crystal City,PM Peak (3pm-7pm),4.5K,June
Court House,PM Peak (3pm-7pm),1.7K,June
Congress Heights,PM Peak (3pm-7pm),0.4K,June
Columbia Heights,PM Peak (3pm-7pm),3.0K,June
College Park-U of Md,PM Peak (3pm-7pm),1.1K,June
Cleveland Park,PM Peak (3pm-7pm),0.6K,June
Clarendon,PM Peak (3pm-7pm),0.8K,June
Cheverly,PM Peak (3pm-7pm),0.0K,June
Capitol South,PM Peak (3pm-7pm),4.7K,June
Capitol Heights,PM Peak (3pm-7pm),0.1K,June
Brookland-CUA,PM Peak (3pm-7pm),1.7K,June
Branch Ave,PM Peak (3pm-7pm),0.4K,June
Braddock Road,PM Peak (3pm-7pm),0.9K,June
Bethesda,PM Peak (3pm-7pm),3.7K,June
Benning Road,PM Peak (3pm-7pm),0.9K,June
Ballston-MU,PM Peak (3pm-7pm),3.0K,June
Arlington Cemetery,PM Peak (3pm-7pm),0.8K,June
Archives,PM Peak (3pm-7pm),6.4K,June
Anacostia,PM Peak (3pm-7pm),1.5K,June
Addison Road,PM Peak (3pm-7pm),0.1K,June
Woodley Park,Midday (9:30am-3pm),1.8K,June
Wiehle-Reston East,Midday (9:30am-3pm),1.2K,June
Wheaton,Midday (9:30am-3pm),0.8K,June
West Hyattsville,Midday (9:30am-3pm),0.8K,June
West Falls Church,Midday (9:30am-3pm),0.4K,June
Waterfront,Midday (9:30am-3pm),0.9K,June
Virginia Sq-GMU,Midday (9:30am-3pm),0.6K,June
Vienna,Midday (9:30am-3pm),1.5K,June
Van Ness-UDC,Midday (9:30am-3pm),1.2K,June
Van Dorn Street,Midday (9:30am-3pm),0.5K,June
Union Station,Midday (9:30am-3pm),5.1K,June
U Street,Midday (9:30am-3pm),1.1K,June
Tysons,Midday (9:30am-3pm),0.5K,June
Twinbrook,Midday (9:30am-3pm),0.8K,June
Tenleytown-AU,Midday (9:30am-3pm),1.2K,June
Takoma,Midday (9:30am-3pm),1.1K,June
Suitland,Midday (9:30am-3pm),1.0K,June
Stadium-Armory,Midday (9:30am-3pm),0.3K,June
Spring Hill,Midday (9:30am-3pm),0.3K,June
Southern Ave,Midday (9:30am-3pm),1.1K,June
Smithsonian,Midday (9:30am-3pm),1.9K,June
Silver Spring,Midday (9:30am-3pm),2.5K,June
Shaw-Howard U,Midday (9:30am-3pm),1.0K,June
Shady Grove,Midday (9:30am-3pm),2.1K,June
Rosslyn,Midday (9:30am-3pm),2.5K,June
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),2.1K,June
Rockville,Midday (9:30am-3pm),0.9K,June
Rhode Island Ave,Midday (9:30am-3pm),1.4K,June
Potomac Ave,Midday (9:30am-3pm),0.4K,June
Pentagon City,Midday (9:30am-3pm),2.8K,June
Pentagon,Midday (9:30am-3pm),2.4K,June
North Bethesda,Midday (9:30am-3pm),0.7K,June
NoMa-Gallaudet U,Midday (9:30am-3pm),1.7K,June
New Carrollton,Midday (9:30am-3pm),1.0K,June
Naylor Road,Midday (9:30am-3pm),0.5K,June
Navy Yard-Ballpark,Midday (9:30am-3pm),1.2K,June
Mt Vernon Sq,Midday (9:30am-3pm),0.9K,June
Morgan Boulevard,Midday (9:30am-3pm),0.3K,June
Minnesota Ave,Midday (9:30am-3pm),0.6K,June
Metro Center,Midday (9:30am-3pm),4.0K,June
Medical Center,Midday (9:30am-3pm),0.9K,June
McPherson Sq,Midday (9:30am-3pm),2.1K,June
McLean,Midday (9:30am-3pm),0.3K,June
Landover,Midday (9:30am-3pm),0.2K,June
L'Enfant Plaza,Midday (9:30am-3pm),3.2K,June
King St-Old Town,Midday (9:30am-3pm),1.7K,June
Judiciary Square,Midday (9:30am-3pm),1.6K,June
Hyattsville Crossing,Midday (9:30am-3pm),1.0K,June
Huntington,Midday (9:30am-3pm),1.2K,June
Herndon,Midday (9:30am-3pm),0.0K,June
Grosvenor-Strathmore,Midday (9:30am-3pm),0.9K,June
Greensboro,Midday (9:30am-3pm),0.2K,June
Greenbelt,Midday (9:30am-3pm),1.3K,June
Glenmont,Midday (9:30am-3pm),1.0K,June
Georgia Ave-Petworth,Midday (9:30am-3pm),1.2K,June
Gallery Place,Midday (9:30am-3pm),3.8K,June
Friendship Heights,Midday (9:30am-3pm),1.9K,June
Franconia-Springfield,Midday (9:30am-3pm),1.5K,June
Fort Totten,Midday (9:30am-3pm),1.7K,June
Forest Glen,Midday (9:30am-3pm),0.3K,June
Foggy Bottom-GWU,Midday (9:30am-3pm),3.4K,June
Federal Triangle,Midday (9:30am-3pm),1.3K,June
Federal Center SW,Midday (9:30am-3pm),0.9K,June
Farragut West,Midday (9:30am-3pm),2.9K,June
Farragut North,Midday (9:30am-3pm),3.6K,June
Eisenhower Ave,Midday (9:30am-3pm),0.4K,June
Eastern Market,Midday (9:30am-3pm),2.2K,June
East Falls Church,Midday (9:30am-3pm),0.7K,June
Dupont Circle,Midday (9:30am-3pm),3.3K,June
Dunn Loring,Midday (9:30am-3pm),0.7K,June
Downtown Largo,Midday (9:30am-3pm),0.5K,June
Deanwood,Midday (9:30am-3pm),0.2K,June
Crystal City,Midday (9:30am-3pm),2.3K,June
Court House,Midday (9:30am-3pm),1.1K,June
Congress Heights,Midday (9:30am-3pm),0.6K,June
Columbia Heights,Midday (9:30am-3pm),2.4K,June
College Park-U of Md,Midday (9:30am-3pm),1.3K,June
Cleveland Park,Midday (9:30am-3pm),0.8K,June
Clarendon,Midday (9:30am-3pm),0.7K,June
Cheverly,Midday (9:30am-3pm),0.2K,June
Capitol South,Midday (9:30am-3pm),1.7K,June
Capitol Heights,Midday (9:30am-3pm),0.3K,June
Brookland-CUA,Midday (9:30am-3pm),1.3K,June
Branch Ave,Midday (9:30am-3pm),0.9K,June
Braddock Road,Midday (9:30am-3pm),0.7K,June
Bethesda,Midday (9:30am-3pm),1.8K,June
Benning Road,Midday (9:30am-3pm),0.6K,June
Ballston-MU,Midday (9:30am-3pm),1.7K,June
Arlington Cemetery,Midday (9:30am-3pm),1.0K,June
Archives,Midday (9:30am-3pm),1.6K,June
Anacostia,Midday (9:30am-3pm),1.7K,June
Addison Road,Midday (9:30am-3pm),0.5K,June
Woodley Park,Late Night (12am-Close),0.0K,June
Wiehle-Reston East,Late Night (12am-Close),0.0K,June
Wheaton,Late Night (12am-Close),0.0K,June
West Hyattsville,Late Night (12am-Close),0.0K,June
West Falls Church,Late Night (12am-Close),0.0K,June
Waterfront,Late Night (12am-Close),0.0K,June
Virginia Sq-GMU,Late Night (12am-Close),0.0K,June
Vienna,Late Night (12am-Close),0.0K,June
Van Ness-UDC,Late Night (12am-Close),0.0K,June
Van Dorn Street,Late Night (12am-Close),0.0K,June
Union Station,Late Night (12am-Close),0.0K,June
U Street,Late Night (12am-Close),0.0K,June
Tysons,Late Night (12am-Close),0.0K,June
Twinbrook,Late Night (12am-Close),0.0K,June
Tenleytown-AU,Late Night (12am-Close),0.0K,June
Takoma,Late Night (12am-Close),0.0K,June
Suitland,Late Night (12am-Close),0.0K,June
Stadium-Armory,Late Night (12am-Close),0.0K,June
Spring Hill,Late Night (12am-Close),0.0K,June
Southern Ave,Late Night (12am-Close),0.0K,June
Smithsonian,Late Night (12am-Close),0.0K,June
Silver Spring,Late Night (12am-Close),0.0K,June
Shaw-Howard U,Late Night (12am-Close),0.0K,June
Shady Grove,Late Night (12am-Close),0.0K,June
Rosslyn,Late Night (12am-Close),0.0K,June
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K,June
Rockville,Late Night (12am-Close),0.0K,June
Rhode Island Ave,Late Night (12am-Close),0.0K,June
Potomac Ave,Late Night (12am-Close),0.0K,June
Pentagon City,Late Night (12am-Close),0.0K,June
Pentagon,Late Night (12am-Close),0.0K,June
North Bethesda,Late Night (12am-Close),0.0K,June
NoMa-Gallaudet U,Late Night (12am-Close),0.0K,June
New Carrollton,Late Night (12am-Close),0.0K,June
Naylor Road,Late Night (12am-Close),0.0K,June
Navy Yard-Ballpark,Late Night (12am-Close),0.0K,June
Mt Vernon Sq,Late Night (12am-Close),0.0K,June
Morgan Boulevard,Late Night (12am-Close),0.0K,June
Minnesota Ave,Late Night (12am-Close),0.0K,June
Metro Center,Late Night (12am-Close),0.0K,June
Medical Center,Late Night (12am-Close),0.0K,June
McPherson Sq,Late Night (12am-Close),0.0K,June
McLean,Late Night (12am-Close),0.0K,June
Landover,Late Night (12am-Close),0.0K,June
L'Enfant Plaza,Late Night (12am-Close),0.0K,June
King St-Old Town,Late Night (12am-Close),0.0K,June
Judiciary Square,Late Night (12am-Close),0.0K,June
Hyattsville Crossing,Late Night (12am-Close),0.0K,June
Huntington,Late Night (12am-Close),0.0K,June
Grosvenor-Strathmore,Late Night (12am-Close),0.0K,June
Greensboro,Late Night (12am-Close),0.0K,June
Greenbelt,Late Night (12am-Close),0.0K,June
Glenmont,Late Night (12am-Close),0.0K,June
Georgia Ave-Petworth,Late Night (12am-Close),0.0K,June
Gallery Place,Late Night (12am-Close),0.0K,June
Friendship Heights,Late Night (12am-Close),0.0K,June
Franconia-Springfield,Late Night (12am-Close),0.0K,June
Fort Totten,Late Night (12am-Close),0.0K,June
Forest Glen,Late Night (12am-Close),0.0K,June
Foggy Bottom-GWU,Late Night (12am-Close),0.0K,June
Federal Triangle,Late Night (12am-Close),0.0K,June
Federal Center SW,Late Night (12am-Close),0.0K,June
Farragut West,Late Night (12am-Close),0.0K,June
Farragut North,Late Night (12am-Close),0.0K,June
Eisenhower Ave,Late Night (12am-Close),0.0K,June
Eastern Market,Late Night (12am-Close),0.0K,June
East Falls Church,Late Night (12am-Close),0.0K,June
Dupont Circle,Late Night (12am-Close),0.0K,June
Dunn Loring,Late Night (12am-Close),0.0K,June
Downtown Largo,Late Night (12am-Close),0.0K,June
Deanwood,Late Night (12am-Close),0.0K,June
Crystal City,Late Night (12am-Close),0.0K,June
Court House,Late Night (12am-Close),0.0K,June
Congress Heights,Late Night (12am-Close),0.0K,June
Columbia Heights,Late Night (12am-Close),0.0K,June
College Park-U of Md,Late Night (12am-Close),0.0K,June
Cleveland Park,Late Night (12am-Close),0.0K,June
Clarendon,Late Night (12am-Close),0.0K,June
Cheverly,Late Night (12am-Close),0.0K,June
Capitol South,Late Night (12am-Close),0.0K,June
Capitol Heights,Late Night (12am-Close),0.0K,June
Brookland-CUA,Late Night (12am-Close),0.0K,June
Branch Ave,Late Night (12am-Close),0.0K,June
Braddock Road,Late Night (12am-Close),0.0K,June
Bethesda,Late Night (12am-Close),0.0K,June
Benning Road,Late Night (12am-Close),0.0K,June
Ballston-MU,Late Night (12am-Close),0.0K,June
Archives,Late Night (12am-Close),0.0K,June
Anacostia,Late Night (12am-Close),0.0K,June
Addison Road,Late Night (12am-Close),0.0K,June
Woodley Park,Evening (7pm-12am),0.8K,June
Wiehle-Reston East,Evening (7pm-12am),0.3K,June
Wheaton,Evening (7pm-12am),0.3K,June
West Hyattsville,Evening (7pm-12am),0.2K,June
West Falls Church,Evening (7pm-12am),0.1K,June
Waterfront,Evening (7pm-12am),0.4K,June
Virginia Sq-GMU,Evening (7pm-12am),0.3K,June
Vienna,Evening (7pm-12am),0.2K,June
Van Ness-UDC,Evening (7pm-12am),0.4K,June
Van Dorn Street,Evening (7pm-12am),0.1K,June
Union Station,Evening (7pm-12am),3.6K,June
U Street,Evening (7pm-12am),1.5K,June
Tysons,Evening (7pm-12am),0.6K,June
Twinbrook,Evening (7pm-12am),0.3K,June
Tenleytown-AU,Evening (7pm-12am),0.6K,June
Takoma,Evening (7pm-12am),0.3K,June
Suitland,Evening (7pm-12am),0.3K,June
Stadium-Armory,Evening (7pm-12am),0.3K,June
Spring Hill,Evening (7pm-12am),0.1K,June
Southern Ave,Evening (7pm-12am),0.3K,June
Smithsonian,Evening (7pm-12am),1.4K,June
Silver Spring,Evening (7pm-12am),1.0K,June
Shaw-Howard U,Evening (7pm-12am),0.6K,June
Shady Grove,Evening (7pm-12am),0.3K,June
Rosslyn,Evening (7pm-12am),1.2K,June
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.4K,June
Rockville,Evening (7pm-12am),0.3K,June
Rhode Island Ave,Evening (7pm-12am),0.4K,June
Potomac Ave,Evening (7pm-12am),0.1K,June
Pentagon City,Evening (7pm-12am),1.5K,June
Pentagon,Evening (7pm-12am),0.4K,June
North Bethesda,Evening (7pm-12am),0.3K,June
NoMa-Gallaudet U,Evening (7pm-12am),0.7K,June
New Carrollton,Evening (7pm-12am),0.1K,June
Naylor Road,Evening (7pm-12am),0.2K,June
Navy Yard-Ballpark,Evening (7pm-12am),4.2K,June
Mt Vernon Sq,Evening (7pm-12am),0.8K,June
Morgan Boulevard,Evening (7pm-12am),0.0K,June
Minnesota Ave,Evening (7pm-12am),0.5K,June
Metro Center,Evening (7pm-12am),4.7K,June
Medical Center,Evening (7pm-12am),0.5K,June
McPherson Sq,Evening (7pm-12am),1.8K,June
McLean,Evening (7pm-12am),0.1K,June
Landover,Evening (7pm-12am),0.0K,June
L'Enfant Plaza,Evening (7pm-12am),1.8K,June
King St-Old Town,Evening (7pm-12am),0.9K,June
Judiciary Square,Evening (7pm-12am),0.7K,June
Hyattsville Crossing,Evening (7pm-12am),0.4K,June
Huntington,Evening (7pm-12am),0.2K,June
Grosvenor-Strathmore,Evening (7pm-12am),0.2K,June
Greensboro,Evening (7pm-12am),0.1K,June
Greenbelt,Evening (7pm-12am),0.3K,June
Glenmont,Evening (7pm-12am),0.2K,June
Georgia Ave-Petworth,Evening (7pm-12am),0.5K,June
Gallery Place,Evening (7pm-12am),5.9K,June
Friendship Heights,Evening (7pm-12am),0.9K,June
Franconia-Springfield,Evening (7pm-12am),0.2K,June
Fort Totten,Evening (7pm-12am),0.5K,June
Forest Glen,Evening (7pm-12am),0.1K,June
Foggy Bottom-GWU,Evening (7pm-12am),3.5K,June
Federal Triangle,Evening (7pm-12am),0.9K,June
Federal Center SW,Evening (7pm-12am),0.4K,June
Farragut West,Evening (7pm-12am),2.8K,June
Farragut North,Evening (7pm-12am),3.9K,June
Eisenhower Ave,Evening (7pm-12am),0.1K,June
Eastern Market,Evening (7pm-12am),0.9K,June
East Falls Church,Evening (7pm-12am),0.2K,June
Dupont Circle,Evening (7pm-12am),3.7K,June
Dunn Loring,Evening (7pm-12am),0.2K,June
Downtown Largo,Evening (7pm-12am),0.1K,June
Deanwood,Evening (7pm-12am),0.0K,June
Crystal City,Evening (7pm-12am),0.8K,June
Court House,Evening (7pm-12am),0.5K,June
Congress Heights,Evening (7pm-12am),0.1K,June
Columbia Heights,Evening (7pm-12am),1.4K,June
College Park-U of Md,Evening (7pm-12am),0.3K,June
Cleveland Park,Evening (7pm-12am),0.3K,June
Clarendon,Evening (7pm-12am),0.5K,June
Cheverly,Evening (7pm-12am),0.0K,June
Capitol South,Evening (7pm-12am),1.0K,June
Capitol Heights,Evening (7pm-12am),0.1K,June
Brookland-CUA,Evening (7pm-12am),0.5K,June
Branch Ave,Evening (7pm-12am),0.2K,June
Braddock Road,Evening (7pm-12am),0.2K,June
Bethesda,Evening (7pm-12am),1.2K,June
Benning Road,Evening (7pm-12am),0.4K,June
Ballston-MU,Evening (7pm-12am),0.7K,June
Arlington Cemetery,Evening (7pm-12am),0.2K,June
Archives,Evening (7pm-12am),1.4K,June
Anacostia,Evening (7pm-12am),0.4K,June
Addison Road,Evening (7pm-12am),0.1K,June
Woodley Park,AM Peak (Open-9:30am),2.7K,June
Wiehle-Reston East,AM Peak (Open-9:30am),4.2K,June
Wheaton,AM Peak (Open-9:30am),2.2K,June
West Hyattsville,AM Peak (Open-9:30am),2.1K,June
West Falls Church,AM Peak (Open-9:30am),1.4K,June
Waterfront,AM Peak (Open-9:30am),1.2K,June
Virginia Sq-GMU,AM Peak (Open-9:30am),1.8K,June
Vienna,AM Peak (Open-9:30am),6.1K,June
Van Ness-UDC,AM Peak (Open-9:30am),2.5K,June
Van Dorn Street,AM Peak (Open-9:30am),2.1K,June
Union Station,AM Peak (Open-9:30am),10.0K,June
U Street,AM Peak (Open-9:30am),1.9K,June
Tysons,AM Peak (Open-9:30am),0.5K,June
Twinbrook,AM Peak (Open-9:30am),2.2K,June
Tenleytown-AU,AM Peak (Open-9:30am),1.8K,June
Takoma,AM Peak (Open-9:30am),3.0K,June
Suitland,AM Peak (Open-9:30am),3.5K,June
Stadium-Armory,AM Peak (Open-9:30am),0.6K,June
Spring Hill,AM Peak (Open-9:30am),0.4K,June
Southern Ave,AM Peak (Open-9:30am),2.9K,June
Smithsonian,AM Peak (Open-9:30am),0.2K,June
Silver Spring,AM Peak (Open-9:30am),6.1K,June
Shaw-Howard U,AM Peak (Open-9:30am),1.5K,June
Shady Grove,AM Peak (Open-9:30am),8.7K,June
Rosslyn,AM Peak (Open-9:30am),4.1K,June
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.7K,June
Rockville,AM Peak (Open-9:30am),2.3K,June
Rhode Island Ave,AM Peak (Open-9:30am),2.7K,June
Potomac Ave,AM Peak (Open-9:30am),1.0K,June
Pentagon City,AM Peak (Open-9:30am),5.4K,June
Pentagon,AM Peak (Open-9:30am),5.6K,June
North Bethesda,AM Peak (Open-9:30am),1.5K,June
NoMa-Gallaudet U,AM Peak (Open-9:30am),2.7K,June
New Carrollton,AM Peak (Open-9:30am),3.1K,June
Naylor Road,AM Peak (Open-9:30am),1.5K,June
Navy Yard-Ballpark,AM Peak (Open-9:30am),1.1K,June
Mt Vernon Sq,AM Peak (Open-9:30am),1.2K,June
Morgan Boulevard,AM Peak (Open-9:30am),0.9K,June
Minnesota Ave,AM Peak (Open-9:30am),0.7K,June
Metro Center,AM Peak (Open-9:30am),1.5K,June
Medical Center,AM Peak (Open-9:30am),0.8K,June
McPherson Sq,AM Peak (Open-9:30am),1.4K,June
McLean,AM Peak (Open-9:30am),0.7K,June
Landover,AM Peak (Open-9:30am),0.7K,June
L'Enfant Plaza,AM Peak (Open-9:30am),2.6K,June
King St-Old Town,AM Peak (Open-9:30am),2.9K,June
Judiciary Square,AM Peak (Open-9:30am),0.5K,June
Hyattsville Crossing,AM Peak (Open-9:30am),2.3K,June
Huntington,AM Peak (Open-9:30am),5.3K,June
Grosvenor-Strathmore,AM Peak (Open-9:30am),3.6K,June
Greensboro,AM Peak (Open-9:30am),0.3K,June
Greenbelt,AM Peak (Open-9:30am),4.5K,June
Glenmont,AM Peak (Open-9:30am),4.3K,June
Georgia Ave-Petworth,AM Peak (Open-9:30am),2.7K,June
Gallery Place,AM Peak (Open-9:30am),1.7K,June
Friendship Heights,AM Peak (Open-9:30am),3.0K,June
Franconia-Springfield,AM Peak (Open-9:30am),4.6K,June
Fort Totten,AM Peak (Open-9:30am),3.8K,June
Forest Glen,AM Peak (Open-9:30am),1.6K,June
Foggy Bottom-GWU,AM Peak (Open-9:30am),3.4K,June
Federal Triangle,AM Peak (Open-9:30am),0.1K,June
Federal Center SW,AM Peak (Open-9:30am),0.4K,June
Farragut West,AM Peak (Open-9:30am),1.4K,June
Farragut North,AM Peak (Open-9:30am),1.4K,June
Eisenhower Ave,AM Peak (Open-9:30am),0.8K,June
Eastern Market,AM Peak (Open-9:30am),3.7K,June
East Falls Church,AM Peak (Open-9:30am),2.2K,June
Dupont Circle,AM Peak (Open-9:30am),3.6K,June
Dunn Loring,AM Peak (Open-9:30am),2.1K,June
Downtown Largo,AM Peak (Open-9:30am),2.2K,June
Deanwood,AM Peak (Open-9:30am),0.5K,June
Crystal City,AM Peak (Open-9:30am),3.8K,June
Court House,AM Peak (Open-9:30am),3.0K,June
Congress Heights,AM Peak (Open-9:30am),1.1K,June
Columbia Heights,AM Peak (Open-9:30am),4.1K,June
College Park-U of Md,AM Peak (Open-9:30am),2.5K,June
Cleveland Park,AM Peak (Open-9:30am),2.0K,June
Clarendon,AM Peak (Open-9:30am),1.7K,June
Cheverly,AM Peak (Open-9:30am),0.5K,June
Capitol South,AM Peak (Open-9:30am),0.8K,June
Capitol Heights,AM Peak (Open-9:30am),0.7K,June
Brookland-CUA,AM Peak (Open-9:30am),2.3K,June
Branch Ave,AM Peak (Open-9:30am),4.6K,June
Braddock Road,AM Peak (Open-9:30am),2.7K,June
Bethesda,AM Peak (Open-9:30am),3.1K,June
Benning Road,AM Peak (Open-9:30am),0.9K,June
Ballston-MU,AM Peak (Open-9:30am),4.3K,June
Arlington Cemetery,AM Peak (Open-9:30am),0.0K,June
Archives,AM Peak (Open-9:30am),0.4K,June
Anacostia,AM Peak (Open-9:30am),2.6K,June
Addison Road,AM Peak (Open-9:30am),1.2K,June
Woodley Park,PM Peak (3pm-7pm),1.5K,September
Wiehle-Reston East,PM Peak (3pm-7pm),1.3K,September
Wheaton,PM Peak (3pm-7pm),0.5K,September
West Hyattsville,PM Peak (3pm-7pm),0.5K,September
West Falls Church,PM Peak (3pm-7pm),0.4K,September
Waterfront,PM Peak (3pm-7pm),1.3K,September
Virginia Sq-GMU,PM Peak (3pm-7pm),0.9K,September
Vienna,PM Peak (3pm-7pm),0.7K,September
Van Ness-UDC,PM Peak (3pm-7pm),1.4K,September
Van Dorn Street,PM Peak (3pm-7pm),0.3K,September
Union Station,PM Peak (3pm-7pm),10.6K,September
U Street,PM Peak (3pm-7pm),1.7K,September
Tysons,PM Peak (3pm-7pm),1.3K,September
Twinbrook,PM Peak (3pm-7pm),0.9K,September
Tenleytown-AU,PM Peak (3pm-7pm),2.3K,September
Takoma,PM Peak (3pm-7pm),0.7K,September
Suitland,PM Peak (3pm-7pm),0.9K,September
Stadium-Armory,PM Peak (3pm-7pm),0.5K,September
Spring Hill,PM Peak (3pm-7pm),0.4K,September
Southern Ave,PM Peak (3pm-7pm),0.5K,September
Smithsonian,PM Peak (3pm-7pm),5.3K,September
Silver Spring,PM Peak (3pm-7pm),2.7K,September
Shaw-Howard U,PM Peak (3pm-7pm),1.4K,September
Shady Grove,PM Peak (3pm-7pm),1.1K,September
Rosslyn,PM Peak (3pm-7pm),4.9K,September
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.9K,September
Rockville,PM Peak (3pm-7pm),0.8K,September
Rhode Island Ave,PM Peak (3pm-7pm),1.0K,September
Potomac Ave,PM Peak (3pm-7pm),0.5K,September
Pentagon City,PM Peak (3pm-7pm),3.1K,September
Pentagon,PM Peak (3pm-7pm),5.0K,September
North Bethesda,PM Peak (3pm-7pm),1.0K,September
NoMa-Gallaudet U,PM Peak (3pm-7pm),3.6K,September
New Carrollton,PM Peak (3pm-7pm),0.8K,September
Naylor Road,PM Peak (3pm-7pm),0.3K,September
Navy Yard-Ballpark,PM Peak (3pm-7pm),4.0K,September
Mt Vernon Sq,PM Peak (3pm-7pm),1.6K,September
Morgan Boulevard,PM Peak (3pm-7pm),0.2K,September
Minnesota Ave,PM Peak (3pm-7pm),0.5K,September
Metro Center,PM Peak (3pm-7pm),13.0K,September
Medical Center,PM Peak (3pm-7pm),3.1K,September
McPherson Sq,PM Peak (3pm-7pm),7.3K,September
McLean,PM Peak (3pm-7pm),0.5K,September
Landover,PM Peak (3pm-7pm),0.1K,September
L'Enfant Plaza,PM Peak (3pm-7pm),12.1K,September
King St-Old Town,PM Peak (3pm-7pm),2.2K,September
Judiciary Square,PM Peak (3pm-7pm),5.1K,September
Hyattsville Crossing,PM Peak (3pm-7pm),0.8K,September
Huntington,PM Peak (3pm-7pm),0.6K,September
Herndon,PM Peak (3pm-7pm),0.0K,September
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.6K,September
Greensboro,PM Peak (3pm-7pm),0.5K,September
Greenbelt,PM Peak (3pm-7pm),0.7K,September
Glenmont,PM Peak (3pm-7pm),0.4K,September
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.2K,September
Gallery Place,PM Peak (3pm-7pm),10.6K,September
Friendship Heights,PM Peak (3pm-7pm),2.4K,September
Franconia-Springfield,PM Peak (3pm-7pm),0.6K,September
Fort Totten,PM Peak (3pm-7pm),1.7K,September
Forest Glen,PM Peak (3pm-7pm),0.2K,September
Foggy Bottom-GWU,PM Peak (3pm-7pm),9.3K,September
Federal Triangle,PM Peak (3pm-7pm),5.0K,September
Federal Center SW,PM Peak (3pm-7pm),3.5K,September
Farragut West,PM Peak (3pm-7pm),11.3K,September
Farragut North,PM Peak (3pm-7pm),14.1K,September
Eisenhower Ave,PM Peak (3pm-7pm),0.3K,September
Eastern Market,PM Peak (3pm-7pm),1.3K,September
East Falls Church,PM Peak (3pm-7pm),0.6K,September
Dupont Circle,PM Peak (3pm-7pm),7.1K,September
Dunn Loring,PM Peak (3pm-7pm),0.5K,September
Downtown Largo,PM Peak (3pm-7pm),0.4K,September
Deanwood,PM Peak (3pm-7pm),0.2K,September
Crystal City,PM Peak (3pm-7pm),4.1K,September
Court House,PM Peak (3pm-7pm),1.6K,September
Congress Heights,PM Peak (3pm-7pm),0.4K,September
Columbia Heights,PM Peak (3pm-7pm),3.0K,September
College Park-U of Md,PM Peak (3pm-7pm),1.2K,September
Cleveland Park,PM Peak (3pm-7pm),0.6K,September
Clarendon,PM Peak (3pm-7pm),0.9K,September
Cheverly,PM Peak (3pm-7pm),0.1K,September
Capitol South,PM Peak (3pm-7pm),3.5K,September
Capitol Heights,PM Peak (3pm-7pm),0.2K,September
Brookland-CUA,PM Peak (3pm-7pm),1.9K,September
Branch Ave,PM Peak (3pm-7pm),0.4K,September
Braddock Road,PM Peak (3pm-7pm),0.8K,September
Bethesda,PM Peak (3pm-7pm),3.4K,September
Benning Road,PM Peak (3pm-7pm),0.4K,September
Ballston-MU,PM Peak (3pm-7pm),2.9K,September
Arlington Cemetery,PM Peak (3pm-7pm),0.4K,September
Archives,PM Peak (3pm-7pm),5.3K,September
Anacostia,PM Peak (3pm-7pm),1.5K,September
Addison Road,PM Peak (3pm-7pm),0.3K,September
Woodley Park,Midday (9:30am-3pm),1.4K,September
Wiehle-Reston East,Midday (9:30am-3pm),1.0K,September
Wheaton,Midday (9:30am-3pm),0.7K,September
West Hyattsville,Midday (9:30am-3pm),0.7K,September
West Falls Church,Midday (9:30am-3pm),0.5K,September
Waterfront,Midday (9:30am-3pm),0.9K,September
Virginia Sq-GMU,Midday (9:30am-3pm),0.6K,September
Vienna,Midday (9:30am-3pm),1.1K,September
Van Ness-UDC,Midday (9:30am-3pm),1.3K,September
Van Dorn Street,Midday (9:30am-3pm),0.4K,September
Union Station,Midday (9:30am-3pm),4.8K,September
U Street,Midday (9:30am-3pm),1.0K,September
Tysons,Midday (9:30am-3pm),0.5K,September
Twinbrook,Midday (9:30am-3pm),0.7K,September
