Date,Station Name ,Time Period,Avg Daily Entries
September 4,Brookland-CUA,Late Night (12am-Close),0.0K
September 4,Branch Ave,Late Night (12am-Close),0.0K
September 4,Braddock Road,Late Night (12am-Close),0.0K
September 4,Bethesda,Late Night (12am-Close),0.0K
September 4,Benning Road,Late Night (12am-Close),0.0K
September 4,Ballston-MU,Late Night (12am-Close),0.0K
September 4,Ashburn,Late Night (12am-Close),0.0K
September 4,Arlington Cemetery,Late Night (12am-Close),0.0K
September 4,Archives,Late Night (12am-Close),0.0K
September 4,Anacostia,Late Night (12am-Close),0.0K
September 4,Addison Road,Late Night (12am-Close),0.0K
September 4,Morgan Boulevard,Evening (7pm-12am),0.0K
September 4,Loudoun Gateway,Evening (7pm-12am),0.0K
September 4,Herndon,Evening (7pm-12am),0.0K
September 4,Cheverly,Evening (7pm-12am),0.0K
September 4,Arlington Cemetery,Evening (7pm-12am),0.0K
September 4,Arlington Cemetery,AM Peak (Open-9:30am),0.0K
June 5,Woodley Park,Late Night (12am-Close),0.0K
June 5,Wiehle-Reston East,Late Night (12am-Close),0.0K
June 5,West Hyattsville,Late Night (12am-Close),0.0K
June 5,West Falls Church,Late Night (12am-Close),0.0K
June 5,Waterfront,Late Night (12am-Close),0.0K
June 5,Virginia Sq-GMU,Late Night (12am-Close),0.0K
June 5,Vienna,Late Night (12am-Close),0.0K
June 5,Van Ness-UDC,Late Night (12am-Close),0.0K
June 5,Van Dorn Street,Late Night (12am-Close),0.0K
June 5,Union Station,Late Night (12am-Close),0.0K
June 5,U Street,Late Night (12am-Close),0.0K
June 5,Tysons,Late Night (12am-Close),0.0K
June 5,Twinbrook,Late Night (12am-Close),0.0K
June 5,Tenleytown-AU,Late Night (12am-Close),0.0K
June 5,Takoma,Late Night (12am-Close),0.0K
June 5,Takoma,Evening (7pm-12am),0.0K
June 5,Takoma,PM Peak (3pm-7pm),0.0K
June 5,Takoma,Midday (9:30am-3pm),0.0K
June 5,Takoma,AM Peak (Open-9:30am),0.0K
June 5,Suitland,Late Night (12am-Close),0.0K
June 5,Stadium-Armory,Late Night (12am-Close),0.0K
June 5,Spring Hill,Late Night (12am-Close),0.0K
June 5,Southern Ave,Late Night (12am-Close),0.0K
June 5,Smithsonian,Late Night (12am-Close),0.0K
June 5,Shaw-Howard U,Late Night (12am-Close),0.0K
June 5,Shady Grove,Late Night (12am-Close),0.0K
June 5,Rosslyn,Late Night (12am-Close),0.0K
June 5,Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0K
June 5,Rockville,Late Night (12am-Close),0.0K
June 5,Rhode Island Ave,Late Night (12am-Close),0.0K
June 5,Reston Town Center,Late Night (12am-Close),0.0K
June 5,Potomac Yard,Late Night (12am-Close),0.0K
June 5,Potomac Ave,Late Night (12am-Close),0.0K
June 5,Pentagon City,Late Night (12am-Close),0.0K
June 5,Pentagon,Late Night (12am-Close),0.0K
June 5,North Bethesda,Late Night (12am-Close),0.0K
June 5,NoMa-Gallaudet U,Late Night (12am-Close),0.0K
June 5,New Carrollton,Late Night (12am-Close),0.0K
June 5,Naylor Road,Late Night (12am-Close),0.0K
June 5,Navy Yard-Ballpark,Late Night (12am-Close),0.0K
June 5,Mt Vernon Sq,Late Night (12am-Close),0.0K
June 5,Morgan Boulevard,Late Night (12am-Close),0.0K
June 5,Minnesota Ave,Late Night (12am-Close),0.0K
June 5,Metro Center,Late Night (12am-Close),0.0K
June 5,Medical Center,Late Night (12am-Close),0.0K
June 5,McPherson Sq,Late Night (12am-Close),0.0K
June 5,McLean,Late Night (12am-Close),0.0K
June 5,Loudoun Gateway,Late Night (12am-Close),0.0K
June 5,Loudoun Gateway,Evening (7pm-12am),0.0K
June 5,Landover,Late Night (12am-Close),0.0K
June 5,L'Enfant Plaza,Late Night (12am-Close),0.0K
June 5,King St-Old Town,Late Night (12am-Close),0.0K
June 5,Judiciary Square,Late Night (12am-Close),0.0K
June 5,Innovation Center,Late Night (12am-Close),0.0K
June 5,Hyattsville Crossing,Late Night (12am-Close),0.0K
June 5,Huntington,Late Night (12am-Close),0.0K
June 5,Herndon,Late Night (12am-Close),0.0K
June 5,Herndon,Evening (7pm-12am),0.0K
June 5,Grosvenor-Strathmore,Late Night (12am-Close),0.0K
June 5,Greensboro,Late Night (12am-Close),0.0K
June 5,Greenbelt,Late Night (12am-Close),0.0K
June 5,Glenmont,Late Night (12am-Close),0.0K
June 5,Glenmont,Evening (7pm-12am),0.0K
June 5,Glenmont,PM Peak (3pm-7pm),0.0K
June 5,Glenmont,Midday (9:30am-3pm),0.0K
June 5,Glenmont,AM Peak (Open-9:30am),0.0K
June 5,Georgia Ave-Petworth,Late Night (12am-Close),0.0K
June 5,Gallery Place,Late Night (12am-Close),0.0K
June 5,Friendship Heights,Late Night (12am-Close),0.0K
June 5,Franconia-Springfield,Late Night (12am-Close),0.0K
June 5,Forest Glen,Late Night (12am-Close),0.0K
June 5,Forest Glen,Evening (7pm-12am),0.0K
June 5,Forest Glen,PM Peak (3pm-7pm),0.0K
June 5,Foggy Bottom-GWU,Late Night (12am-Close),0.0K
June 5,Federal Triangle,Late Night (12am-Close),0.0K
June 5,Federal Center SW,Late Night (12am-Close),0.0K
June 5,Farragut West,Late Night (12am-Close),0.0K
June 5,Farragut North,Late Night (12am-Close),0.0K
June 5,Eisenhower Ave,Late Night (12am-Close),0.0K
June 5,Eastern Market,Late Night (12am-Close),0.0K
June 5,East Falls Church,Late Night (12am-Close),0.0K
June 5,Dupont Circle,Late Night (12am-Close),0.0K
June 5,Dunn Loring,Late Night (12am-Close),0.0K
June 5,Dulles Airport,Late Night (12am-Close),0.0K
June 5,Downtown Largo,Late Night (12am-Close),0.0K
June 5,Deanwood,Late Night (12am-Close),0.0K
June 5,Crystal City,Late Night (12am-Close),0.0K
June 5,Court House,Late Night (12am-Close),0.0K
June 5,Congress Heights,Late Night (12am-Close),0.0K
June 5,Columbia Heights,Late Night (12am-Close),0.0K
June 5,College Park-U of Md,Late Night (12am-Close),0.0K
June 5,Cleveland Park,Late Night (12am-Close),0.0K
June 5,Clarendon,Late Night (12am-Close),0.0K
June 5,Cheverly,Late Night (12am-Close),0.0K
June 5,Cheverly,Evening (7pm-12am),0.0K
June 5,Capitol South,Late Night (12am-Close),0.0K
June 5,Capitol Heights,Late Night (12am-Close),0.0K
June 5,Brookland-CUA,Late Night (12am-Close),0.0K
June 5,Branch Ave,Late Night (12am-Close),0.0K
June 5,Braddock Road,Late Night (12am-Close),0.0K
June 5,Bethesda,Late Night (12am-Close),0.0K
June 5,Benning Road,Late Night (12am-Close),0.0K
June 5,Ballston-MU,Late Night (12am-Close),0.0K
June 5,Ashburn,Late Night (12am-Close),0.0K
June 5,Arlington Cemetery,Late Night (12am-Close),0.0K
June 5,Arlington Cemetery,Evening (7pm-12am),0.0K
June 5,Archives,Late Night (12am-Close),0.0K
June 5,Anacostia,Late Night (12am-Close),0.0K
June 5,Addison Road,Late Night (12am-Close),0.0K
March 6,Woodley Park,Late Night (12am-Close),0.0K
March 6,Wiehle-Reston East,Late Night (12am-Close),0.0K
March 6,Wheaton,Late Night (12am-Close),0.0K
March 6,West Hyattsville,Late Night (12am-Close),0.0K
March 6,West Falls Church,Late Night (12am-Close),0.0K
March 6,West Falls Church,Evening (7pm-12am),0.0K
March 6,Waterfront,Late Night (12am-Close),0.0K
March 6,Virginia Sq-GMU,Late Night (12am-Close),0.0K
March 6,Vienna,Late Night (12am-Close),0.0K
March 6,Van Ness-UDC,Late Night (12am-Close),0.0K
March 6,Van Dorn Street,Late Night (12am-Close),0.0K
March 6,Union Station,Late Night (12am-Close),0.0K
March 6,U Street,Late Night (12am-Close),0.0K
March 6,Tysons,Late Night (12am-Close),0.0K
March 6,Twinbrook,Late Night (12am-Close),0.0K
March 6,Tenleytown-AU,Late Night (12am-Close),0.0K
March 6,Takoma,Late Night (12am-Close),0.0K
March 6,Suitland,Late Night (12am-Close),0.0K
March 6,Stadium-Armory,Late Night (12am-Close),0.0K
March 6,Spring Hill,Late Night (12am-Close),0.0K
March 6,Southern Ave,Late Night (12am-Close),0.0K
March 6,Smithsonian,Late Night (12am-Close),0.0K
March 6,Silver Spring,Late Night (12am-Close),0.0K
March 6,Shaw-Howard U,Late Night (12am-Close),0.0K
March 6,Shady Grove,Late Night (12am-Close),0.0K
March 6,Rosslyn,Late Night (12am-Close),0.0K
March 6,Rockville,Late Night (12am-Close),0.0K
March 6,Rhode Island Ave,Late Night (12am-Close),0.0K
March 6,Reston Town Center,Late Night (12am-Close),0.0K
March 6,Potomac Yard,Late Night (12am-Close),0.0K
March 6,Potomac Ave,Late Night (12am-Close),0.0K
March 6,Pentagon City,Late Night (12am-Close),0.0K
March 6,Pentagon,Late Night (12am-Close),0.0K
March 6,North Bethesda,Late Night (12am-Close),0.0K
March 6,NoMa-Gallaudet U,Late Night (12am-Close),0.0K
March 6,New Carrollton,Late Night (12am-Close),0.0K
March 6,Naylor Road,Late Night (12am-Close),0.0K
March 6,Navy Yard-Ballpark,Late Night (12am-Close),0.0K
March 6,Mt Vernon Sq,Late Night (12am-Close),0.0K
March 6,Morgan Boulevard,Late Night (12am-Close),0.0K
March 6,Morgan Boulevard,Evening (7pm-12am),0.0K
March 6,Minnesota Ave,Late Night (12am-Close),0.0K
March 6,Metro Center,Late Night (12am-Close),0.0K
March 6,Medical Center,Late Night (12am-Close),0.0K
March 6,McPherson Sq,Late Night (12am-Close),0.0K
March 6,McLean,Late Night (12am-Close),0.0K
March 6,Loudoun Gateway,Late Night (12am-Close),0.0K
March 6,Loudoun Gateway,Evening (7pm-12am),0.0K
March 6,Loudoun Gateway,Midday (9:30am-3pm),0.0K
March 6,Landover,Late Night (12am-Close),0.0K
March 6,King St-Old Town,Late Night (12am-Close),0.0K
March 6,Judiciary Square,Late Night (12am-Close),0.0K
March 6,Innovation Center,Late Night (12am-Close),0.0K
March 6,Innovation Center,Evening (7pm-12am),0.0K
March 6,Hyattsville Crossing,Late Night (12am-Close),0.0K
March 6,Huntington,Late Night (12am-Close),0.0K
March 6,Herndon,Late Night (12am-Close),0.0K
March 6,Herndon,Evening (7pm-12am),0.0K
March 6,Grosvenor-Strathmore,Late Night (12am-Close),0.0K
March 6,Greensboro,Late Night (12am-Close),0.0K
March 6,Greenbelt,Late Night (12am-Close),0.0K
March 6,Glenmont,Late Night (12am-Close),0.0K
March 6,Georgia Ave-Petworth,Late Night (12am-Close),0.0K
March 6,Gallery Place,Late Night (12am-Close),0.0K
March 6,Friendship Heights,Late Night (12am-Close),0.0K
March 6,Franconia-Springfield,Late Night (12am-Close),0.0K
March 6,Fort Totten,Late Night (12am-Close),0.0K
March 6,Forest Glen,Late Night (12am-Close),0.0K
March 6,Forest Glen,Evening (7pm-12am),0.0K
March 6,Foggy Bottom-GWU,Late Night (12am-Close),0.0K
March 6,Federal Triangle,Late Night (12am-Close),0.0K
March 6,Federal Center SW,Late Night (12am-Close),0.0K
March 6,Farragut West,Late Night (12am-Close),0.0K
March 6,Farragut North,Late Night (12am-Close),0.0K
March 6,Eisenhower Ave,Late Night (12am-Close),0.0K
March 6,Eastern Market,Late Night (12am-Close),0.0K
March 6,East Falls Church,Late Night (12am-Close),0.0K
March 6,Dupont Circle,Late Night (12am-Close),0.0K
March 6,Dunn Loring,Late Night (12am-Close),0.0K
March 6,Dulles Airport,Late Night (12am-Close),0.0K
March 6,Downtown Largo,Late Night (12am-Close),0.0K
March 6,Deanwood,Late Night (12am-Close),0.0K
March 6,Crystal City,Late Night (12am-Close),0.0K
March 6,Court House,Late Night (12am-Close),0.0K
March 6,Congress Heights,Late Night (12am-Close),0.0K
March 6,Columbia Heights,Late Night (12am-Close),0.0K
March 6,College Park-U of Md,Late Night (12am-Close),0.0K
March 6,Cleveland Park,Late Night (12am-Close),0.0K
March 6,Clarendon,Late Night (12am-Close),0.0K
March 6,Cheverly,Late Night (12am-Close),0.0K
March 6,Cheverly,Evening (7pm-12am),0.0K
March 6,Capitol South,Late Night (12am-Close),0.0K
March 6,Capitol Heights,Late Night (12am-Close),0.0K
March 6,Brookland-CUA,Late Night (12am-Close),0.0K
March 6,Branch Ave,Late Night (12am-Close),0.0K
March 6,Braddock Road,Late Night (12am-Close),0.0K
March 6,Bethesda,Late Night (12am-Close),0.0K
March 6,Benning Road,Late Night (12am-Close),0.0K
March 6,Ballston-MU,Late Night (12am-Close),0.0K
March 6,Ashburn,Late Night (12am-Close),0.0K
March 6,Ashburn,Evening (7pm-12am),0.0K
March 6,Arlington Cemetery,Late Night (12am-Close),0.0K
March 6,Arlington Cemetery,Evening (7pm-12am),0.0K
March 6,Arlington Cemetery,AM Peak (Open-9:30am),0.0K
March 6,Archives,Late Night (12am-Close),0.0K
March 6,Anacostia,Late Night (12am-Close),0.0K
March 6,Addison Road,Late Night (12am-Close),0.0K
